country,year,emissions
Sweden,1955.0,5.388923942
Switzerland,1955.0,2.742550928
Syria,1955.0,0.421739668
Taiwan,1955.0,0.759540375
Tanzania,1955.0,0.063760886
Thailand,1955.0,0.100726853
Togo,1955.0,0.027350103
Tonga,1955.0,0.132547687
Trinidad and Tobago,1955.0,3.785189456
Tunisia,1955.0,0.414162349
Turkey,1955.0,0.554503304
Uganda,1955.0,0.044754478
United Kingdom,1955.0,11.27418144
United States,1955.0,15.91391299
Uruguay,1955.0,1.654034453
Venezuela,1955.0,9.612658602
Vietnam,1955.0,0.112589284
Afghanistan,1956.0,0.020401088
Albania,1956.0,0.590725077
Algeria,1956.0,0.503945835
Angola,1956.0,0.108632742
Argentina,1956.0,2.300034416
Australia,1956.0,7.759465556
Austria,1956.0,4.059629292
Bahamas,1956.0,1.516305728
Bahrain,1956.0,7.60100483
Bangladesh,1956.0,0.036634097
Barbados,1956.0,0.562212049
Belgium,1956.0,10.85688262
Belize,1956.0,0.356445589
Bermuda,1956.0,3.274915914
Bolivia,1956.0,0.360334562
Brazil,1956.0,0.566014026
Brunei,1956.0,4.476397179
Bulgaria,1956.0,1.714900783
Cambodia,1956.0,0.02669323
Cameroon,1956.0,0.047720171
Canada,1956.0,11.74464621
Cape Verde,1956.0,0.14860221
Cayman Islands,1956.0,0.522689475
Chile,1956.0,1.708628328
China,1956.0,0.350204598
Colombia,1956.0,0.886408133
"Congo, Dem. Rep.",1956.0,0.228620134
Costa Rica,1956.0,0.414778809
Cuba,1956.0,0.879925237
Cyprus,1956.0,1.250318139
Denmark,1956.0,5.909778579
Djibouti,1956.0,0.406261974
Dominica,1956.0,0.066012542
Ecuador,1956.0,0.32712386
Egypt,1956.0,0.396834445
El Salvador,1956.0,0.212063182
Equatorial Guinea,1956.0,0.152888622
Ethiopia,1956.0,0.01168739
Faeroe Islands,1956.0,3.519200801
Fiji,1956.0,0.562092411
Finland,1956.0,2.846813512
France,1956.0,6.13123332
French Guiana,1956.0,0.503386418
French Polynesia,1956.0,0.618264083
Gambia,1956.0,0.057387073
Germany,1956.0,10.83537908
Ghana,1956.0,0.18137867
Gibraltar,1956.0,2.436901654
Greece,1956.0,0.782381208
Greenland,1956.0,5.204352731
Grenada,1956.0,0.132885549
Guadeloupe,1956.0,0.375510695
Guatemala,1956.0,0.262564122
Guinea-Bissau,1956.0,0.019168305
Guyana,1956.0,1.104003115
Haiti,1956.0,0.073727468
Honduras,1956.0,0.25712412
"Hong Kong, China",1956.0,0.815393461
